2018-05-24 11:00:05 DEBUG   mailDetect start
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:checkBox code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:序号 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:关键字 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:邮件主题 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:类型 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:位置 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:时间 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:判定结论 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:checkBox code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:序号 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:关键字 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:邮件主题 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:类型 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:位置 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:时间 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:判定结论 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:1, columnName:checkBox code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:checkBox code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:序号 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:关键字 code in maildetect.cpp
2018-05-24 11:00:31 DEBUG   getTableColumnWidth, pageIndex:2, columnName:邮件主题 code in maildetect.cpp
